Survived,Pclass,Gender,Age,Embarked
0,3,male,22,Southampton
1,1,female,38,Cherbourg
1,3,female,26,Southampton
1,1,female,35,Southampton
0,3,male,35,Southampton
0,3,male,,Queenstown
0,1,male,54,Southampton
0,3,male,2,Southampton
1,3,female,27,Southampton
1,2,female,14,Cherbourg
1,3,female,4,Southampton
1,1,female,58,Southampton
0,3,male,20,Southampton
0,3,male,39,Southampton
0,3,female,14,Southampton
1,2,female,55,Southampton
0,3,male,2,Queenstown
1,2,male,,Southampton
0,3,female,31,Southampton
1,3,female,,Cherbourg
0,2,male,35,Southampton
1,2,male,34,Southampton
1,3,female,15,Queenstown
1,1,male,28,Southampton
0,3,female,8,Southampton
1,3,female,38,Southampton
0,3,male,,Cherbourg
0,1,male,19,Southampton
1,3,female,,Queenstown
0,3,male,,Southampton
0,1,male,40,Cherbourg
1,1,female,,Cherbourg
1,3,female,,Queenstown
0,2,male,66,Southampton
0,1,male,28,Cherbourg
0,1,male,42,Southampton
1,3,male,,Cherbourg
0,3,male,21,Southampton
0,3,female,18,Southampton
1,3,female,14,Cherbourg
0,3,female,40,Southampton
0,2,female,27,Southampton
0,3,male,,Cherbourg
1,2,female,3,Cherbourg
1,3,female,19,Queenstown
0,3,male,,Southampton
0,3,male,,Queenstown
1,3,female,,Queenstown
0,3,male,,Cherbourg
0,3,female,18,Southampton
0,3,male,7,Southampton
0,3,male,21,Southampton
1,1,female,49,Cherbourg
1,2,female,29,Southampton
0,1,male,65,Cherbourg
1,1,male,,Southampton
1,2,female,21,Southampton
0,3,male,28.5,Cherbourg
1,2,female,5,Southampton
0,3,male,11,Southampton
0,3,male,22,Cherbourg
1,1,female,38,
0,1,male,45,Southampton
0,3,male,4,Southampton
0,1,male,,Cherbourg
1,3,male,,Cherbourg
1,2,female,29,Southampton
0,3,male,19,Southampton
1,3,female,17,Southampton
0,3,male,26,Southampton
0,2,male,32,Southampton
0,3,female,16,Southampton
0,2,male,21,Southampton
0,3,male,26,Cherbourg
1,3,male,32,Southampton
0,3,male,25,Southampton
0,3,male,,Southampton
0,3,male,,Southampton
1,2,male,0.83,Southampton
1,3,female,30,Southampton
0,3,male,22,Southampton
1,3,male,29,Southampton
1,3,female,,Queenstown
0,1,male,28,Southampton
1,2,female,17,Southampton
1,3,female,33,Southampton
0,3,male,16,Southampton
0,3,male,,Southampton
1,1,female,23,Southampton
0,3,male,24,Southampton
0,3,male,29,Southampton
0,3,male,20,Southampton
0,1,male,46,Southampton
0,3,male,26,Southampton
0,3,male,59,Southampton
0,3,male,,Southampton
0,1,male,71,Cherbourg
1,1,male,23,Cherbourg
1,2,female,34,Southampton
0,2,male,34,Southampton
0,3,female,28,Southampton
0,3,male,,Southampton
0,1,male,21,Southampton
